NAME_1,ID_1,level,Code
Đà Nẵng,1,2,48
Đồng Nai,2,1,75
Đồng Tháp,3,2,87
Đắk Nông,4,2,67
Đắk Lắk,5,2,66
Điện Biên,6,1,11
An Giang,7,2,89
Bà Rịa - Vũng Tàu,8,1,77
Bình Định,9,2,52
Bình Dương,10,2,74
Bình Phước,11,2,70
Bình Thuận,12,1,60
Bạc Liêu,13,4,95
Bắc Giang,14,1,24
Bắc Kạn,15,1,6
Bắc Ninh,16,2,27
Bến Tre,17,2,83
Cà Mau,18,2,96
Cao Bằng,19,1,4
Cần Thơ,20,2,92
Gia Lai,21,2,64
Hà Giang,22,1,2
TP. Hà Nội,23,2,1
Hà Nam,24,2,35
Hà Tĩnh,25,1,42
TP. Hồ Chí Minh,26,2,79
Hòa Bình,27,1,17
Hưng Yên,28,2,33
Hải Dương,29,2,30
Hải Phòng,30,1,31
Hậu Giang,31,2,93
Khánh Hòa,32,2,56
Kiên Giang,33,2,91
Kom Tum,34,1,62
Lào Cai,35,1,10
Lâm Đồng,36,2,67
Lai Châu,37,1,12
Lạng Sơn,38,1,20
Long An,39,2,80
Nam Định,40,1,36
Nghệ An,41,2,40
Ninh Bình,42,1,37
Ninh Thuận,43,2,58
Phú Thọ,44,2,25
Phú Yên,45,1,54
Quảng Bình,46,2,44
Quảng Nam,47,2,49
Quảng Ngãi,48,2,51
Quảng Ninh,49,1,22
Quảng Trị,50,2,45
Sóc Trăng,51,2,94
Sơn La,52,1,14
Tây Ninh,53,1,72
Thái Bình,54,1,34
Thái Nguyên,55,2,19
Thừa Thiên Huế,56,2,46
Thanh Hóa,57,2,38
Tiền Giang,58,2,82
Trà Vinh,59,1,84
Tuyên Quang,60,2,8
Vĩnh Long,61,2,86
Vĩnh Phúc,62,2,26
Yên Bái,63,1,15
